Id,Name,Description,Url
0,TarskyTGI,Приложение для генерации текста,https://raw.githubusercontent.com/tarskyie/tarsky-public-files/refs/heads/master/site/content/tarskytgi.html
1,Krepysh,Средство разработки и развёртывания информационных сайтов,https://raw.githubusercontent.com/tarskyie/tarsky-public-files/refs/heads/master/site/content/krepysh.html
